,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7597402597402597,0.7385204081632653,0.7404040404040404,0.739424703891709
Random Forest,0.7272727272727273,0.7039247603544945,0.7070707070707071,0.7053571428571428
SVC,0.7532467532467533,0.7313131313131314,0.7313131313131314,0.7313131313131314
